cc_num,spend_tier,transactions,total_spend,total_revenue
6011367958204270,High Spender,3110,296436.73,5335.86
4908846471916297,High Spender,3036,289354.03,5208.37
6011893664860915,High Spender,3090,278325.97,5009.87
6011438889172900,High Spender,3092,278239.89,5008.32
3583635130604947,High Spender,3026,278042.99,5004.77
6011109736646996,High Spender,3099,277859.12,5001.46
36722699017270,High Spender,3112,277354.94,4992.39
2712209726293386,High Spender,3064,277085.65,4987.54
4836998673805450,High Spender,3023,275074.9,4951.35
3590736522064285,High Spender,3073,272278.56,4901.01
180094419304907,High Spender,3022,271983.75,4895.71
3566094707272327,High Spender,3031,271203.42,4881.66
213141712584544,High Spender,3043,270705.23,4872.69
372509258176510,High Spender,3046,270617.49,4871.11
180048185037117,High Spender,3066,269376.99,4848.79
344709867813900,High Spender,3013,267272.84,4810.91
3521417320836166,High Spender,3026,266738.21,4801.29
6538891242532018,High Spender,3056,260856.12,4695.41
4792627764422477317,High Spender,3077,258373.89,4650.73
3576431665303017,High Spender,3021,256423.37,4615.62
4939976756738216,High Spender,3026,255323.83,4595.83
3551217896304745,High Spender,3052,254028.04,4572.5
3586008444788268,High Spender,2602,238545.08,4293.81
4646845581490336108,High Spender,2582,237516.52,4275.3
213157767990030,High Spender,2548,233670.53,4206.07
3518234918950662,High Spender,2590,231510.73,4167.19
180031190491743,High Spender,2525,230994.47,4157.9
3598215285024754,High Spender,2570,227928.31,4102.71
3531129874770000,High Spender,2517,226506.67,4077.12
4861310130652566408,High Spender,2524,224708.15,4044.75
30551643947183,High Spender,2585,223866.0,4029.59
4745996322265,High Spender,2912,223784.75,4028.13
346273234529002,High Spender,2596,222928.69,4012.72
4681601008538160,High Spender,2558,222583.54,4006.5
6011724471098086,High Spender,2565,222018.03,3996.32
6538441737335434,High Spender,2918,221146.62,3980.64
30131826429364,High Spender,2575,220598.18,3970.77
373905417449658,High Spender,2549,220584.37,3970.52
30044330818990,High Spender,2512,217387.98,3912.98
30199621383748,High Spender,2564,216981.43,3905.67
36913587729122,High Spender,2498,215804.74,3884.49
567868110212,High Spender,2555,211568.7,3808.24
4586810168620942,High Spender,2908,210475.14,3788.55
370877495212014,High Spender,2565,210311.33,3785.6
372520049757633,High Spender,2967,208063.6,3745.14
30273037698427,High Spender,2941,207333.66,3732.01
4587657402165341815,High Spender,2910,206592.45,3718.66
2242542703101233,High Spender,2934,202994.4,3653.9
376028110684021,High Spender,2042,201555.22,3627.99
4301028321766222513,High Spender,2040,197624.19,3557.24
180011453250192,High Spender,2065,197492.15,3554.86
4223708906367574214,High Spender,2070,196931.41,3544.77
3534330126107879,High Spender,2080,196094.17,3529.7
3559160581764413,High Spender,2040,195763.1,3523.74
213193596103206,High Spender,2065,193964.47,3491.36
4683638447911,High Spender,2042,193678.29,3486.21
4149238353975790,High Spender,2065,193608.86,3484.96
38199021865320,High Spender,2084,193206.42,3477.72
4873783502705038,High Spender,2030,192159.74,3458.88
375534208663984,High Spender,2017,191974.21,3455.54
4841313716651064,High Spender,2040,191673.27,3450.12
4451952084362894,High Spender,2028,191140.27,3440.52
30428204673351,High Spender,2024,190033.12,3420.6
4457732997086323466,High Spender,2038,189761.79,3415.71
4446368897795790,High Spender,2054,189727.5,3415.1
30026790933302,High Spender,2035,189228.01,3406.1
2720012583106919,High Spender,2016,188818.77,3398.74
6506116513503136,High Spender,2087,188500.81,3393.01
180049032966888,High Spender,2081,188450.35,3392.11
3577578023716568,High Spender,2025,187828.36,3380.91
571365235126,High Spender,3113,187731.92,3379.17
4855488158131690372,High Spender,2031,187220.37,3369.97
630451534402,High Spender,3064,186685.25,3360.33
676102124465,High Spender,2085,185716.77,3342.9
630484879808,High Spender,1995,185624.01,3341.23
30197398657930,High Spender,2071,184672.54,3324.11
4997733566924489,High Spender,2051,184565.0,3322.17
342952484382519,High Spender,3090,184162.8,3314.93
3596217206093829,High Spender,3051,183914.73,3310.47
30074693890476,High Spender,2041,182771.04,3289.88
30030380240193,High Spender,2015,181290.92,3263.24
2252055259910912,High Spender,2016,180920.64,3256.57
4514242065619750,High Spender,2021,180762.9,3253.73
3500969075198072,High Spender,2443,180191.59,3243.45
4069975342931683,High Spender,2044,179908.11,3238.35
213112402583773,High Spender,3117,179368.37,3228.63
4642255475285942,High Spender,3028,179363.61,3228.54
4904681492230012,High Spender,3095,178563.56,3214.14
4998109455173950,High Spender,2036,178067.94,3205.22
571465035400,High Spender,1997,177825.6,3200.86
4003989662068504,High Spender,2553,177737.56,3199.28
2703186189652095,High Spender,2028,177233.44,3190.2
345933964507467,High Spender,3066,176227.64,3172.1
5540636818935089,High Spender,2585,173595.6,3124.72
630424987505,High Spender,3085,173451.11,3122.12
4512828414983801773,High Spender,3123,172868.53,3111.63
3575789281659026,High Spender,3076,171998.57,3095.97
3541160328600277,High Spender,2446,170818.82,3074.74
4809701904914,High Spender,2000,170732.45,3073.18
376445266762684,High Spender,3061,169807.22,3056.53
4560395181594436016,High Spender,1996,169340.86,3048.14
4099707841315751,High Spender,2607,169298.65,3047.38
30238755902988,High Spender,3071,169032.61,3042.59
213156747557083,High Spender,2603,167152.2,3008.74
6011652924285713,High Spender,3037,166674.07,3000.13
30270432095985,High Spender,3006,164394.46,2959.1
3553629419254918,High Spender,3079,163807.16,2948.53
630423337322,High Spender,3030,163466.44,2942.4
3589255887819806,High Spender,2519,163202.61,2937.65
6011504998544485,High Spender,3076,162288.33,2921.19
3560797065840735,High Spender,3045,161503.01,2907.05
4755696071492,High Spender,2591,159036.96,2862.67
4464457352619,High Spender,2564,158744.04,2857.39
4170689372027579,High Spender,2561,158570.9,2854.28
2264937662466770,High Spender,2549,158529.88,2853.54
4716561796955522,High Spender,3074,158245.1,2848.41
4561546772499,High Spender,2546,156458.84,2816.26
6534628260579800,High Spender,3097,155652.13,2801.74
2254917871818484,High Spender,2568,154336.2,2778.05
374930071163758,High Spender,2538,154174.9,2775.15
2720433095629877,High Spender,3091,153547.6,2763.86
4681699462969,High Spender,2569,153545.03,2763.81
4956828990005111019,High Spender,2556,153219.04,2757.94
3511378610369890,High Spender,2512,151624.79,2729.25
377026671291680,High Spender,2520,151550.61,2727.91
639023984367,High Spender,2548,150924.51,2716.64
3545109339866548,High Spender,3113,150914.97,2716.47
3589289942931264,High Spender,2537,150553.75,2709.97
503874407318,High Spender,2556,149925.73,2698.66
4900628639996,High Spender,2561,149193.51,2685.48
3525590521269779,High Spender,2546,149102.1,2683.84
4040099974063068803,High Spender,1523,148689.67,2676.41
4777065439639721,High Spender,1555,148544.79,2673.81
581293083266,High Spender,1548,148510.52,2673.19
3502088871723054,High Spender,2552,148500.69,2673.01
2475085306462014,High Spender,1535,148374.33,2670.74
3587044315915002,High Spender,1542,148142.75,2666.57
4979422371139333,High Spender,2039,148058.76,2665.06
30235438713303,High Spender,2540,147421.42,2653.59
180036456789979,High Spender,2575,146500.55,2637.01
4181833256558613886,High Spender,2564,146191.24,2631.44
4613314721966,High Spender,1505,145689.06,2622.4
38797410705641,High Spender,1538,145314.66,2615.66
2706977570537524,High Spender,1545,144387.14,2598.97
3595192916105588,High Spender,2513,143979.28,2591.63
3543591270174051,High Spender,2529,143862.3,2589.52
349612764943496,High Spender,1503,143816.03,2588.69
6011348830550197,High Spender,2555,143677.64,2586.2
30234966027947,High Spender,2563,143645.34,2585.62
4503101193493052864,High Spender,1544,143644.79,2585.61
676372984911,High Spender,2561,143525.39,2583.46
3521815216091574,High Spender,1502,143200.6,2577.61
3540210836308425,High Spender,1545,143144.9,2576.61
4935858973307492,High Spender,1540,143123.53,2576.22
3568736585751727,High Spender,1495,143120.52,2576.17
213178850083780,High Spender,1543,142971.66,2573.49
4005676619255478,High Spender,2538,142432.53,2563.79
30230540139182,High Spender,1543,142319.13,2561.74
4010002218955876,High Spender,1574,142029.58,2556.53
371226440126102,High Spender,2519,141815.6,2552.68
4536996888716062123,High Spender,2599,141570.5,2548.27
3561963695236764,High Spender,1539,141534.5,2547.62
4302480582202074,High Spender,2547,141102.0,2539.84
340951438290556,High Spender,1506,140951.06,2537.12
502038091380,High Spender,1565,140917.16,2536.51
340953839692349,High Spender,2542,140689.91,2532.42
4584931703207308232,High Spender,1551,140139.33,2522.51
3535808924394848,High Spender,1528,140027.33,2520.49
4452366298769043,High Spender,2547,139753.57,2515.56
342319985983023,High Spender,1529,139657.29,2513.83
6011104316292105,High Spender,2547,139539.66,2511.71
2229378226512508,High Spender,1544,139530.54,2511.55
4560004149983868183,High Spender,1539,139195.61,2505.52
36485887555770,High Spender,1952,138929.57,2500.73
4906628655840914250,High Spender,2573,138880.71,2499.85
581686439828,High Spender,2542,138745.19,2497.41
30442439074871,High Spender,1537,138672.4,2496.1
4344955088481397,High Spender,1515,138530.8,2493.55
3587960728692500,High Spender,1968,138131.68,2486.37
4623560839669,High Spender,2069,138003.86,2484.07
4874017206859125,High Spender,1572,137744.41,2479.4
4810839835482794272,High Spender,2042,137597.22,2476.75
4610050989831291,High Spender,1527,137097.22,2467.75
213148039875802,High Spender,1506,136962.42,2465.32
4926376199189801,High Spender,1550,136672.0,2460.1
630441765090,High Spender,2019,136489.73,2456.82
4334230547694630,High Spender,2039,136405.48,2455.3
561942763351,High Spender,1553,136100.04,2449.8
4178097073221156,High Spender,1538,135962.28,2447.32
342351256941125,High Spender,1550,135549.92,2439.9
4364010865167176,High Spender,2996,135284.25,2435.12
6011148190095209,High Spender,1519,135055.91,2431.01
4450831335606294,High Spender,2026,134783.74,2426.11
180067151859700,High Spender,1516,134483.24,2420.7
4089096483689733451,High Spender,1531,134419.73,2419.56
30135235368675,High Spender,1548,134193.92,2415.49
4992346398065154184,High Spender,2051,133237.93,2398.28
4328928491302401,High Spender,1542,133127.76,2396.3
3524574586339330,High Spender,1550,132384.42,2382.92
4173950183554608,High Spender,2035,132190.09,2379.42
30407675418785,High Spender,2041,132079.61,2377.43
6011329966782895,High Spender,1542,131984.87,2375.73
4147608975828480,High Spender,2070,131826.55,2372.88
6011388901471808,High Spender,2059,131746.34,2371.43
370612217861404,High Spender,1512,131671.12,2370.08
4862293128558,High Spender,2084,131005.47,2358.1
3527536963490470,High Spender,2488,130723.15,2353.02
4658490815480264,High Spender,2062,130711.5,2352.81
3582754887089201,High Spender,2039,129975.4,2339.56
3546897637165774,High Spender,2015,129188.09,2325.39
180018375329178,High Spender,1516,128683.14,2316.3
6011860238257910,High Spender,2082,128582.37,2314.48
4265776278887457,High Spender,2022,128461.62,2312.31
6011693194885790,High Spender,2558,128103.97,2305.87
2288813824604479,High Spender,1530,128102.94,2305.85
6593250708747804,High Spender,1550,127895.35,2302.12
3514865930894695,High Spender,2059,127748.5,2299.47
4990494243023,High Spender,2055,127457.18,2294.23
6597888193422452,High Spender,2054,127176.27,2289.17
38530489946071,High Spender,2044,127139.52,2288.51
3523898249167098,High Spender,2048,127087.59,2287.58
4586260469584,High Spender,2037,126776.07,2281.97
4988304376504,High Spender,2040,126529.23,2277.53
4634955908138648,High Spender,2047,126459.16,2276.26
180067784565096,High Spender,2051,126254.97,2272.59
3560725013359375,High Spender,2043,126182.65,2271.29
374497717543058,High Spender,2041,125721.42,2262.99
4424338559877976,High Spender,1986,125652.19,2261.74
4826655832045236,High Spender,2080,125558.0,2260.04
4736845434667908128,High Spender,2023,125228.69,2254.12
4509142395811241,High Spender,2016,125164.73,2252.97
4430881574719618,High Spender,2023,124850.2,2247.3
6517217825320610,High Spender,2072,124842.51,2247.17
3560318482131952,High Spender,2082,124695.19,2244.51
630469040731,High Spender,2047,124645.52,2243.62
4797297220948468262,High Spender,2541,124572.35,2242.3
3559679414981506,High Spender,1515,124463.31,2240.34
4191109180926792,High Spender,1521,124409.97,2239.38
4149635823017,High Spender,2009,124333.15,2238.0
5359543825610251,High Spender,2043,124324.86,2237.85
4839615922685395,High Spender,2098,124241.6,2236.35
2297447006766555,High Spender,2075,124194.62,2235.5
3556613125071656,High Spender,2540,123910.75,2230.39
3593118134380341,High Spender,2080,123890.17,2230.02
375248307838179,High Spender,2053,123872.39,2229.7
348789608637806,High Spender,2071,123627.65,2225.3
5456776410929288,High Spender,2032,122871.64,2211.69
3526826139003047,High Spender,2023,122500.26,2205.0
3567879740649740,High Spender,2053,122422.83,2203.61
3573030041201292,High Spender,2075,122394.42,2203.1
38588538868506,High Spender,2040,122260.0,2200.68
2254799658404120,High Spender,1522,122144.42,2198.6
584673555952,High Spender,2030,122131.7,2198.37
2283743876903625,High Spender,2549,122059.57,2197.07
3567697931646329,High Spender,2513,121871.46,2193.69
4128730454058057622,High Spender,2034,121737.63,2191.28
4319584480204988982,High Spender,2024,121646.13,2189.63
4653879239169997,High Spender,2564,120945.28,2177.02
4092452671396169678,High Spender,2037,120740.84,2173.34
4769426683924058915,High Spender,2018,120426.26,2167.67
213180742685905,High Spender,2036,120327.36,2165.89
377993105397617,High Spender,2048,120309.35,2165.57
30175986190993,High Spender,2051,120281.6,2165.07
3518669219150142,High Spender,2509,120101.83,2161.83
4079773899158,High Spender,2027,119953.1,2159.16
2235613922823698,High Spender,2003,119840.66,2157.13
3533012926413100,High Spender,2094,119803.5,2156.46
4640395708703,High Spender,2033,119536.16,2151.65
3576021480694169,High Spender,2511,119528.47,2151.51
4951647200979051,High Spender,2034,119210.12,2145.78
30118423745458,High Spender,2047,119164.03,2144.95
38580485618059,High Spender,2061,118829.75,2138.94
502012776709,High Spender,1987,118593.25,2134.68
30029052116970,High Spender,2080,118440.17,2131.92
4587577161160601,High Spender,2036,118228.32,2128.11
375974680629816,High Spender,2025,118120.78,2126.17
30501624614310,High Spender,2043,118062.08,2125.12
4671727014157745,High Spender,2046,118007.7,2124.14
3598304579370089,High Spender,2029,117962.49,2123.32
676195318214,High Spender,2043,117800.97,2120.42
3564839259330465,High Spender,2008,117447.69,2114.06
4449530933957323,High Spender,2031,117435.26,2113.83
2266735643685262,High Spender,2041,117281.1,2111.06
4400011257587661852,High Spender,2014,117106.37,2107.91
3533742182628021,High Spender,2577,117068.79,2107.24
573860193545,High Spender,2081,116757.86,2101.64
38052002992326,High Spender,2577,116689.34,2100.41
4377338765909719,High Spender,2066,116391.46,2095.05
377234009633447,High Spender,2011,116338.04,2094.08
4642894980163,High Spender,2011,115680.49,2082.25
4169759661243568,High Spender,2058,115624.1,2081.23
36078114201167,High Spender,2008,115493.35,2078.88
3596357274378601,High Spender,2070,115412.23,2077.42
4294930380592,High Spender,2060,115142.68,2072.57
377113842678100,High Spender,2017,114359.47,2058.47
180042946491150,High Spender,2021,114339.47,2058.11
3513618443244549,High Spender,2014,114334.59,2058.02
676281772837,High Spender,1524,114334.38,2058.02
213178765398315,High Spender,1995,114220.54,2055.97
4158945090781624,High Spender,2058,114164.82,2054.97
3501509250702469,High Spender,2054,113789.91,2048.22
6554245334757802,High Spender,1532,113650.42,2045.71
4708992452821239,High Spender,2014,113633.02,2045.39
676369110710,Mid Spender,2049,113588.93,2044.6
2248735346244816,Mid Spender,2030,113335.25,2040.03
2383461948823908,Mid Spender,2022,113223.5,2038.02
4500002361389,Mid Spender,2002,112835.37,2031.04
3583793405872580,Mid Spender,2026,112757.89,2029.64
4198470814557,Mid Spender,2016,112730.38,2029.15
345389171551808,Mid Spender,2078,112430.29,2023.75
375767678113375,Mid Spender,1504,112427.52,2023.7
2576709887791552,Mid Spender,1538,112274.65,2020.94
4476840372112,Mid Spender,2109,111276.82,2002.98
